name,genre,country,chanel,start,end
梦想的声音,选秀,原创,浙江卫视,2016,2017
梦想改造家,真人秀,日本,东方卫视,2014,2016
梦想星搭档,真人秀,美国,CCTV,2013,2015
蜜蜂少女队,真人秀,原创,浙江卫视,2016,2016
名声大震,选秀,英国,湖南卫视,2007,2009
明天就出发,选秀,英国,东南卫视,2011,2013
明星大侦探 ,真人秀,韩国,湖南卫视,2016,2017
明星到我家,真人秀,原创,江苏卫视,2014,2014
明星同乐会,脱口秀,原创,河北卫视,2011,2017
娜就这么说,脱口秀,原创,东方卫视,2016,2016
男生女生向前冲,真人秀,原创,安徽卫视,2010,2017
男左女右,脱口秀,荷兰,深圳卫视,2013,2015
你好菜鸟,真人秀,原创,安徽卫视,2015,2016
你好是鹿晗吗,真人秀,原创,优酷土豆,2016,2016
你会怎么做,真人秀,美国,广东卫视,2015,2017
你正常吗?,脱口秀,原创,腾讯视频,2014,2016
年代秀,脱口秀,比利时,深圳卫视,2011,2016
怒放霸王花,真人秀,原创,四川卫视,2016,2016
暖暖的新家 ,真人秀,原创,北京卫视,2015,2017
女神的新衣,真人秀,原创,东方卫视,2014,2016
女婿上门了,真人秀,原创,江苏卫视,2015,2016
偶滴歌神啊 ,真人秀,原创,爱奇艺,2015,2016
偶像来了,真人秀,原创,湖南卫视,2015,2016
泡菜帮,脱口秀,原创,爱奇艺,2014,2017
奇迹梦工厂,选秀,原创,重庆卫视,2013,2014
奇妙的朋友,真人秀,原创,湖南卫视,2016,2016
奇葩大会,选秀,原创,爱奇艺,2017,2017
奇葩来了,脱口秀,原创,爱奇艺,2016,2017
奇葩说,脱口秀,原创,爱奇艺,2014,2016
奇舞飞扬,选秀,原创,湖南卫视,2013,2014
前往世界的尽头,真人秀,日本,江苏卫视,2015,2015
青春练习生,真人秀,原创,浙江卫视,2015,2015
清唱团,选秀,美国,深圳卫视,2012,2012
全能极限王,真人秀,原创,浙江卫视,2015,2015
全能星战,真人秀,原创,江苏卫视,2013,2013
全员加速中,真人秀,日本,湖南卫视,2015,2016
群英会,脱口秀,原创,天津卫视,2015,2017
燃烧吧！卡路里,真人秀,原创,东方卫视,2016,2016
燃烧吧少年,真人秀,原创,浙江卫视,2015,2016
人生第一次,真人秀,日本,浙江卫视,2013,2014
如果爱,真人秀,原创,湖北卫视,2014,2016
闪亮的爸爸,真人秀,原创,深圳卫视,2015,2017
少林英雄,真人秀,原创,河南卫视,2015,2016
少年中国强,选秀,原创,CCTV,2014,2014
神奇的孩子,真人秀,原创,湖南卫视,2017,2017
生活大爆笑,脱口秀,韩国,东方卫视,2015,2015
声动亚洲,选秀,原创,东方卫视,2012,2012
十二道锋味,真人秀,原创,浙江卫视,2014,2016
十三邀,脱口秀,原创,腾讯视频,2016,2017
十三亿分贝,真人秀,原创,爱奇艺,2016,2017
十周嫁出去,真人秀,原创,安徽卫视,2015,2017
食在囧途,脱口秀,网页,浙江卫视,2016,2017
世界青年说,脱口秀,韩国,江苏卫视,2015,2016
世界上的另一个我,真人秀,原创,爱奇艺,2015,2016
首席夜话,脱口秀,原创,CCTV,2011,2014
熟悉的味道,脱口秀,原创,浙江卫视,2016,2017
谁能百里挑一,选秀,原创,东方卫视,2012,2014
谁是大歌神,真人秀,原创,浙江卫视,2016,2016
谁是你的菜,真人秀,原创,安徽卫视,2015,2016
谁是我家人,真人秀,荷兰,湖北卫视,2013,2017
说出我世界,脱口秀,原创,江苏卫视,2016,2016
撕人订制,选秀,原创,爱奇艺,2016,2016
四大名助,真人秀,原创,东方卫视,2016,2016
搜神记,真人秀,原创,腾讯视频,2016,2017
天籁之声,选秀,原创,山东卫视,2012,2012
天籁之战,选秀,原创,东方卫视,2016,2017
天生我有才,选秀,原创,浙江卫视,2015,2015
